ID;Name;Likelihood Of Attack;Related Weaknesses
1;Accessing Functionality Not Properly Constrained by ACLs;High;::276::285::434::693::732::1191::1193::1220::1297::1311::1314::1315::1318::1320::1321::1327::
2;Inducing Account Lockout;High;::645::
3;Using Leading 'Ghost' Character Sequences to Bypass Input Filters;Medium;::173::41::172::179::180::181::183::184::20::74::697::707::
4;Using Alternative IP Address Encodings;Medium;::291::173::
5;Blue Boxing;Medium;::285::
6;Argument Injection;High;::74::146::184::78::185::697::
7;Blind SQL Injection;High;::89::209::74::20::697::707::
8;Buffer Overflow in an API Call;High;::120::119::118::74::20::680::733::697::
9;Buffer Overflow in Local Command-Line Utilities;High;::120::118::119::74::20::680::733::697::
10;Buffer Overflow via Environment Variables;High;::120::302::118::119::74::99::20::680::733::697::
11;Cause Web Server Misclassification;Medium;::430::
12;Choosing Message Identifier;High;::201::306::
13;Subverting Environment Variable Values;High;::353::285::302::74::15::73::20::200::
14;Client-side Injection-induced Buffer Overflow;Medium;::120::353::118::119::74::20::680::697::
15;Command Delimiters;High;::146::77::184::78::185::93::140::157::138::154::697::
16;Dictionary-based Password Attack;Medium;::521::262::263::654::307::308::309::
17;Using Malicious Files;High;::732::285::272::59::282::270::693::
18;XSS Targeting Non-Script Elements;High;::80::
19;Embedding Scripts within Scripts;High;::284::
20;Encryption Brute Forcing;Low;::326::327::693::1204::
21;Exploitation of Trusted Identifiers;High;::290::302::346::539::6::384::664::602::642::
22;Exploiting Trust in Client;High;::290::287::20::200::693::
23;File Content Injection;High;::20::
24;Filter Failure through Buffer Overflow;High;::120::119::118::74::20::680::733::697::
25;Forced Deadlock;Low;::412::567::662::667::833::1322::
26;Leveraging Race Conditions;High;::368::363::366::370::362::662::689::667::665::1223::1254::1298::
27;Leveraging Race Conditions via Symbolic Links;Medium;::367::61::662::689::667::
28;Fuzzing;High;::74::20::
29;Leveraging Time-of-Check and Time-of-Use (TOCTOU) Race Conditions;High;::367::368::366::370::362::662::691::663::665::
30;Hijacking a Privileged Thread of Execution;Low;::270::
31;Accessing/Intercepting/Modifying HTTP Cookies;High;::565::302::311::113::539::20::315::384::472::602::642::
32;XSS Through HTTP Query Strings;High;::80::
33;HTTP Request Smuggling;Medium;::444::
34;HTTP Response Splitting;Medium;::74::113::138::436::
35;Leverage Executable Code in Non-Executable Files;High;::94::96::95::97::272::59::282::270::
36;Using Unpublished Interfaces or Functionality;Medium;::306::693::695::1242::
37;Retrieve Embedded Sensitive Data;High;::226::311::525::312::314::315::318::1239::1258::1266::1272::1278::1301::1330::
38;Leveraging/Manipulating Configuration File Search Paths;High;::426::427::
39;Manipulating Opaque Client-based Data Tokens;High;::353::285::302::472::565::315::539::384::233::
40;Manipulating Writeable Terminal Devices;High;::77::
41;Using Meta-characters in E-mail Headers to Inject Malicious Payloads;High;::150::88::697::
42;MIME Conversion;High;::120::119::74::20::
43;Exploiting Multiple Input Interpretation Layers;Medium;::179::181::184::183::77::78::74::20::697::707::
44;Overflow Binary Resource File;High;::120::119::697::
45;Buffer Overflow via Symbolic Links;High;::120::285::302::118::119::74::20::680::697::
46;Overflow Variables and Tags;High;::120::118::119::74::20::680::733::697::
47;Buffer Overflow via Parameter Expansion;Medium;::120::119::118::130::131::74::20::680::697::
48;Passing Local Filenames to Functions That Expect a URL;High;::241::706::
49;Password Brute Forcing;Medium;::521::262::263::257::654::307::308::309::
50;Password Recovery Exploitation;Medium;::522::640::
51;Poison Web Service Registry;High;::285::74::693::
52;Embedding NULL Bytes;High;::158::172::173::74::20::697::707::
53;Postfix, Null Terminate, and Backslash;High;::158::172::173::74::20::697::707::
54;Query System for Information;High;::209::
55;Rainbow Table Password Cracking;Medium;::261::521::262::263::654::916::308::309::
57;Utilizing REST's Trust in the System Resource to Obtain Sensitive Data;Medium;::300::287::693::
58;Restful Privilege Elevation;High;::267::269::
59;Session Credential Falsification through Prediction;High;::290::330::331::346::488::539::200::6::285::384::693::
60;Reusing Session IDs (aka Session Replay);High;::294::290::346::384::488::539::200::285::664::732::
61;Session Fixation;Medium;::384::664::732::
62;Cross Site Request Forgery;High;::352::306::664::732::1275::
63;Cross-Site Scripting (XSS);High;::79::20::
64;Using Slashes and URL Encoding Combined to Bypass Validation Logic;High;::177::173::172::73::22::74::20::697::707::
65;Sniff Application Code;Low;::319::311::318::693::
66;SQL Injection;High;::89::1286::
67;String Format Overflow in syslog();High;::120::134::74::20::680::697::
68;Subvert Code-signing Facilities;Low;::325::328::1326::
69;Target Programs with Elevated Privileges;High;::250::15::
70;Try Common or Default Usernames and Passwords;Medium;::521::262::263::798::654::308::309::
71;Using Unicode Encoding to Bypass Validation Logic;Medium;::176::179::180::173::172::184::183::74::20::697::692::
72;URL Encoding;High;::173::177::172::73::74::20::
73;User-Controlled Filename;High;::20::184::96::348::116::350::86::697::
74;Manipulating State;Medium;::372::315::353::693::1245::1253::1265::1271::
75;Manipulating Writeable Configuration Files;High;::349::99::77::346::353::354::
76;Manipulating Web Input to File System Calls;High;::23::22::73::77::346::348::285::272::59::74::15::
77;Manipulating User-Controlled Variables;High;::15::94::96::285::302::473::1321::
78;Using Escaped Slashes in Alternate Encoding;High;::180::181::173::172::73::22::74::20::697::707::
79;Using Slashes in Alternate Encoding;High;::173::180::181::20::74::73::22::185::200::697::707::
80;Using UTF-8 Encoding to Bypass Validation Logic;High;::173::172::180::181::73::74::20::697::692::
81;Web Server Logs Tampering;Medium;::117::93::75::221::96::20::150::276::279::116::
83;XPath Injection;High;::91::74::20::707::
84;XQuery Injection;High;::74::707::
85;AJAX Footprinting;High;::79::113::348::96::20::116::184::86::692::
86;XSS Through HTTP Headers;High;::80::
87;Forceful Browsing;High;::425::285::693::
88;OS Command Injection;High;::78::88::20::697::
89;Pharming;High;::346::350::
90;Reflection Attack in Authentication Protocol;High;::301::303::
92;Forced Integer Overflow;High;::190::128::120::122::196::680::697::
93;Log Injection-Tampering-Forging;High;::117::75::150::
94;Adversary in the Middle (AiTM);High;::300::290::593::287::294::
95;WSDL Scanning;High;::538::
96;Block Access to Libraries;Medium;::589::
97;Cryptanalysis;Low;::327::1204::1240::1241::1279::
98;Phishing;High;::451::
100;Overflow Buffers;High;::120::119::131::129::805::680::
101;Server Side Include (SSI) Injection;High;::97::74::20::
102;Session Sidejacking;High;::294::522::523::319::614::
103;Clickjacking;Medium;::1021::
104;Cross Zone Scripting;Medium;::250::638::285::116::20::
105;HTTP Request Splitting;Medium;::74::113::138::436::
107;Cross Site Tracing;Medium;::693::648::
108;Command Line Execution through SQL Injection;Low;::89::74::20::78::114::
109;Object Relational Mapping Injection;Low;::20::89::564::
110;SQL Injection through SOAP Parameter Tampering;High;::89::20::
111;JSON Hijacking (aka JavaScript Hijacking);High;::345::346::352::
112;Brute Force;;::330::326::521::
113;Interface Manipulation;Medium;::1192::
114;Authentication Abuse;;::287::1244::
115;Authentication Bypass;;::287::
116;Excavation;High;::200::1243::
117;Interception;Low;::319::
120;Double Encoding;Low;::173::172::177::181::183::184::74::20::697::692::
121;Exploit Non-Production Interfaces;Low;::489::1209::1259::1267::1270::1294::1295::1296::1302::1313::
122;Privilege Abuse;High;::269::732::1317::
123;Buffer Manipulation;High;::119::
124;Shared Resource Manipulation;;::1189::1331::
125;Flooding;High;::404::770::
126;Path Traversal;High;::22::
127;Directory Indexing;High;::424::425::288::285::732::276::693::
128;Integer Attacks;;::682::
129;Pointer Manipulation;;::682::822::823::
130;Excessive Allocation;Medium;::404::770::1325::
131;Resource Leak Exposure;Medium;::404::
132;Symlink Attack;Low;::59::
133;Try All Common Switches;;::912::
134;Email Injection;;::150::
135;Format String Injection;High;::134::20::74::
136;LDAP Injection;High;::77::90::20::
137;Parameter Injection;Medium;::88::
138;Reflection Injection;;::470::
139;Relative Path Traversal;High;::23::
140;Bypassing of Intermediate Forms in Multiple-Form Sets;;::372::
141;Cache Poisoning;High;::348::345::349::346::
142;DNS Cache Poisoning;High;::348::345::349::346::350::
143;Detect Unpublicized Web Pages;;::425::
144;Detect Unpublicized Web Services;;::425::
145;Checksum Spoofing;;::354::
146;XML Schema Poisoning;Low;::15::472::
147;XML Ping of the Death;Low;::400::770::
148;Content Spoofing;Medium;::345::
149;Explore for Predictable Temporary File Names;;::377::
150;Collect Data from Common Resource Locations;;::552::1239::1258::1266::1272::1323::1330::
151;Identity Spoofing;Medium;::287::
153;Input Data Manipulation;;::20::
154;Resource Location Spoofing;Medium;::451::
155;Screen Temporary Files for Sensitive Information;Medium;::377::
157;Sniffing Attacks;;::311::
158;Sniffing Network Traffic;;::311::
159;Redirect Access to Libraries;High;::706::
160;Exploit Script-Based APIs;;::346::
161;Infrastructure Manipulation;;::923::
162;Manipulating Hidden Fields;;::602::
163;Spear Phishing;High;::451::
164;Mobile Phishing;High;::451::
165;File Manipulation;;
166;Force the System to Reset Values;;::306::1221::1232::
167;White Box Reverse Engineering;;::1323::
168;Windows ::DATA Alternate Data Stream;;::212::69::
169;Footprinting;High;::200::
170;Web Application Fingerprinting;High;::497::
173;Action Spoofing;High;::451::
174;Flash Parameter Injection;High;::88::
175;Code Inclusion;Medium;::829::
176;Configuration/Environment Manipulation;;::15::1233::1234::1304::1328::
177;Create files with the same name as files protected with a higher classification;;::706::
178;Cross-Site Flashing;Medium;::601::
179;Calling Micro-Services Directly;;
180;Exploiting Incorrectly Configured Access Control Security Levels;High;::732::1190::1191::1193::1220::1268::1280::1297::1311::1315::1318::1320::1321::
181;Flash File Overlay;;::1021::
182;Flash Injection;High;::20::184::697::
183;IMAP/SMTP Command Injection;;::77::
184;Software Integrity Attack;;::494::
185;Malicious Software Download;;::494::
186;Malicious Software Update;;::494::
187;Malicious Automated Software Update via Redirection;High;::494::
188;Reverse Engineering;Low;::1278::
189;Black Box Reverse Engineering;;::203::1255::1300::
190;Reverse Engineer an Executable to Expose Assumed Hidden Functionality;;::912::
191;Read Sensitive Constants Within an Executable;;::798::
192;Protocol Analysis;Low;::326::
193;PHP Remote File Inclusion;High;::98::80::
194;Fake the Source of Data;;::287::
195;Principal Spoof;;
196;Session Credential Falsification through Forging;Medium;::384::664::
197;Exponential Data Expansion;High;::770::776::
198;XSS Targeting Error Pages;;::81::
199;XSS Using Alternate Syntax;High;::87::
200;Removal of filters: Input filters, output filters, data masking;;
201;Serialized Data External Linking;High;::829::
202;Create Malicious Client;;::602::
203;Manipulate Registry Information;;::15::
204;Lifting Sensitive Data Embedded in Cache;;::524::311::1239::1258::
206;Signing Malicious Code;;::732::
207;Removing Important Client Functionality;Medium;::602::
208;Removing/short-circuiting 'Purse' logic: removing/mutating 'cash' decrements;;::602::
209;XSS Using MIME Type Mismatch;;::79::20::646::
212;Functionality Misuse;Medium;::1242::1246::1281::
215;Fuzzing for application mapping;High;::209::532::
216;Communication Channel Manipulation;;::306::
217;Exploiting Incorrectly Configured SSL/TLS;Low;::201::
218;Spoofing of UDDI/ebXML Messages;;::345::
219;XML Routing Detour Attacks;High;::441::610::
220;Client-Server Protocol Manipulation;;::757::
221;Data Serialization External Entities Blowup;;::611::
222;iFrame Overlay;Medium;::1021::
224;Fingerprinting;High;::200::
226;Session Credential Falsification through Manipulation;;::565::472::
227;Sustained Client Engagement;;::400::
228;DTD Injection;;::829::
229;Serialized Data Parameter Blowup;High;::770::
230;Serialized Data with Nested Payloads;Medium;::112::20::674::770::
231;Oversized Serialized Data Payloads;Medium;::112::20::674::770::
233;Privilege Escalation;;::269::1264::1311::
234;Hijacking a privileged process;;::732::648::
237;Escaping a Sandbox by Calling Code in Another Language;Low;::693::
240;Resource Injection;High;::99::
242;Code Injection;High;::94::
243;XSS Targeting HTML Attributes;;::83::
244;XSS Targeting URI Placeholders;High;::83::
245;XSS Using Doubled Characters;;::85::
247;XSS Using Invalid Characters;;::86::
248;Command Injection;Medium;::77::
250;XML Injection;High;::91::74::20::707::
251;Local Code Inclusion;;::829::
