1;Activate Firmware Update Mode; ['inhibit-response-function']; ['Field Controller/RTU/PLC/IED', 'Safety Instrumented System/Protection Relay'];;;3,887,042,775;0,85;0,77;0,85;0,85;T0800;;['CAPEC-603']
2;Alarm Suppression; ['inhibit-response-function']; ['Field Controller/RTU/PLC/IED', 'Safety Instrumented System/Protection Relay'];;;22,211,673;0,85;0,44;0,85;0,85;T0878;;['CAPEC-603']
3;Automated Collection; ['collection-ics']; ['Field Controller/RTU/PLC/IED', 'Safety Instrumented System/Protection Relay', 'Control Server'];;;3,887,042,775;0,85;0,77;0,85;0,85;T0802;;['CAPEC-169', 'CAPEC-573', 'CAPEC-580']
4;Block Command Message; ['inhibit-response-function']; ['Field Controller/RTU/PLC/IED'];;;22,211,673;0,85;0,44;0,85;0,85;T0803;;['CAPEC-603', 'CAPEC-607']
5;Block Reporting Message; ['inhibit-response-function']; ['Field Controller/RTU/PLC/IED', 'Input/Output Server'];;;22,211,673;0,85;0,44;0,85;0,85;T0804;;['CAPEC-603', 'CAPEC-607']
6;Block Serial COM; ['inhibit-response-function']; ['Field Controller/RTU/PLC/IED', 'Input/Output Server'];;;22,211,673;0,85;0,44;0,85;0,85;T0805;;['CAPEC-603']
7;Brute Force I/O; ['impair-process-control']; ['Control Server', 'Field Controller/RTU/PLC/IED'];;;22,211,673;0,85;0,44;0,85;0,85;T0806;;['CAPEC-184', 'CAPEC-148']
8;Command-Line Interface; ['execution-ics']; ['Windows',  'Field Controller/RTU/PLC/IED', 'Input/Output Server', 'Control Server', 'Engineering Workstation'] ;;;17,224;0,85;0,77;0,85;0,62;T0807;;[]
9;Commonly Used Port; ['command-and-control-ics']; ['Windows', 'Safety Instrumented System/Protection Relay', 'Field Controller/RTU/PLC/IED', 'Human-Machine Interface', 'Control Server', 'Engineering Workstation'];;;3,887,042,775;0,85;0,77;0,85;0,85;T0885;;[]
10;Connection Proxy; ['command-and-control-ics']; ['Windows', 'Network'];;;17,224;0,85;0,77;0,85;0,62;T0884;;['CAPEC-94']
11;Damage to Property; ['impact-ics']; ['Windows', 'Control Server', 'Data Historian', 'Engineering Workstation', 'Field Controller/RTU/PLC/IED', 'Human-Machine Interface', 'Input/Output Server', 'Safety Instrumented System/Protection Relay'];;;3,887,042,775;0,85;0,77;0,85;0,85;T0879;;['CAPEC-547']
12;Data Destruction; ['inhibit-response-function']; ['Windows', 'Control Server', 'Human-Machine Interface', 'Field Controller/RTU/PLC/IED'];;;25,715;0,85;0,77;0,85;0,55;T0809;;['CAPEC-184', 'CAPEC-268']
13;Data from Information Repositories; ['collection-ics']; ['Windows', 'Control Server', 'Data Historian', 'Engineering Workstation', 'Human-Machine Interface'];;;2,515,145,325;0,85;0,77;0,85;0,55;T0811;;['CAPEC-573']
14;Default Credentials; ['lateral-movement-ics']; ['Windows', 'Human-Machine Interface', 'Field Controller/RTU/PLC/IED', 'Safety Instrumented System/Protection Relay', 'Control Server', 'Engineering Workstation'];;;3,887,042,775;0,85;0,77;0,85;0,85;T0812;;['CAPEC-70', 'CAPEC-560']
15;Denial of Control; ['impact-ics']; ['Windows', 'Network',  'Human-Machine Interface', 'Field Controller/RTU/PLC/IED', 'Control Server', 'Engineering Workstation'];;;22,211,673;0,85;0,44;0,85;0,85;T0813;;['CAPEC-227']
16;Denial of Service; ['inhibit-response-function']; ['Windows', 'Field Controller/RTU/PLC/IED', 'Safety Instrumented System/Protection Relay'];;;3,887,042,775;0,85;0,77;0,85;0,85;T0814;;['CAPEC-131']
17;Denial of View; ['impact-ics']; ['Windows' , 'Network',  'Engineering Workstation', 'Field Controller/RTU/PLC/IED', 'Input/Output Server', 'Sensor'];;;283,525,473;0,85;0,77;0,85;0,62;T0815;;['CAPEC-603']
18;Detect Operating Mode; ['collection-ics']; ['Windows', 'Field Controller/RTU/PLC/IED'];;;22,211,673;0,85;0,44;0,85;0,85;T0868;;['CAPEC-169']
19;Device Restart/Shutdown; ['inhibit-response-function']; ['Windows', 'Field Controller/RTU/PLC/IED'];;;3,887,042,775;0,85;0,77;0,85;0,85;T0816;;['CAPEC-607', 'CAPEC-184']
20;Drive-by Compromise; ['initial-access-ics']; ['Windows',  'Engineering Workstation'];;;283,525,473;0,85;0,77;0,62;0,85;T0817;;['CAPEC-504']
21;Execution through API; ['execution-ics']; ['Windows', 'Field Controller/RTU/PLC/IED'];;;22,211,673;0,85;0,44;0,85;0,85;T0871;;['CAPEC-57']
22;Exploit Public-Facing Application; ['initial-access-ics']; ['Windows',   'Engineering Workstation',  'Data Historian', 'Control Server'];;;3,887,042,775;0,85;0,77;0,85;0,85;T0819;;[]
23;Exploitation for Evasion; ['evasion-ics']; ['Windows', 'Safety Instrumented System/Protection Relay', 'Field Controller/RTU/PLC/IED'];;;14,372,259;0,85;0,44;0,85;0,55;T0820;;[]
24;Exploitation for Privilege Escalation; ['privilege-escalation-ics']; ['Human-Machine Interface', 'Safety Instrumented System/Protection Relay'];;;14,372,259;0,85;0,44;0,85;0,55;T0890;;[]
25;Exploitation of Remote Services; ['lateral-movement-ics']; ['Windows', 'Human-Machine Interface', 'Data Historian', 'Engineering Workstation'];;;34,206;0,85;0,77;0,85;0,85;T0866;;[]
26;External Remote Services; ['lateral-movement-ics', 'initial-access-ics']; ['Windows', 'Control Server', 'Input/Output Server'];;;22,211,673;0,85;0,44;0,85;0,85;T0822;;['CAPEC-555']
27;Graphical User Interface; ['execution-ics']; ['Windows', 'Human-Machine Interface'];;;3,887,042,775;0,85;0,77;0,85;0,85;T0823;;[]
28;Hooking; ['persistence-ics']; ['Windows', 'Engineering Workstation'];;;0,8733;0,27;0,77;0,85;0,55;T0874;;['CAPEC-57','CAPEC-180']
29;I/O Image; ['collection-ics']; ['Windows', 'Field Controller/RTU/PLC/IED'];;;2,515,145,325;0,85;0,77;0,85;0,55;T0877;;['CAPEC-169','CAPEC-580']
30;Indicator Removal on Host; ['evasion-ics']; ['Windows', 'Human-Machine Interface', 'Safety Instrumented System/Protection Relay'];;;2,515,145,325;0,85;0,77;0,85;0,55;T0872;;['CAPEC-268']
31;Internet Accessible Device; ['initial-access-ics']; ['Windows',   'Engineering Workstation',  'Data Historian', 'Control Server'];;;3,887,042,775;0,85;0,77;0,85;0,85;T0883;;[]
32;Loss of Availability; ['impact-ics']; ['Windows', 'Control Server', 'Data Historian', 'Engineering Workstation', 'Field Controller/RTU/PLC/IED', 'Human-Machine Interface', 'Input/Output Server', 'Safety Instrumented System/Protection Relay', 'Network'];;;3,887,042,775;0,85;0,77;0,85;0,85;T0826;;[]
33;Loss of Control; ['impact-ics'];['Windows', 'Network',  'Human-Machine Interface', 'Field Controller/RTU/PLC/IED', 'Control Server', 'Engineering Workstation'];;;22,211,673;0,85;0,44;0,85;0,85;T0827;;[]
34;Loss of Productivity and Revenue; ['impact-ics'];['Windows', 'Network',  'Human-Machine Interface', 'Field Controller/RTU/PLC/IED', 'Control Server', 'Engineering Workstation'];;;22,211,673;0,85;0,44;0,85;0,85;T0828;;[]
35;Loss of Safety; ['impact-ics'];['Safety Instrumented System/Protection Relay'];;;3,887,042,775;0,85;0,77;0,85;0,85;T0880;;[]
36;Loss of View; ['impact-ics']; ['Windows', 'Human-Machine Interface', 'Engineering Workstation', 'Sensor'];;;22,211,673;0,85;0,44;0,85;0,85;T0829;;[]
37;Man in the Middle; ['execution-ics']; ['Windows', 'Control Server', 'Field Controller/RTU/PLC/IED', 'Human-Machine Interface'];;;22,211,673;0,85;0,44;0,85;0,85;T0830;;['CAPEC-94']
